iter	RMSE
0	109.5722758
1	92.62196752
2	79.95090913
3	68.76066962
4	59.2258421
5	51.97549136
6	46.29429145
7	41.61622675
8	38.06812925
9	34.70650751
10	32.03772923
11	29.02774571
12	26.73523395
13	25.36147518
14	23.5530174
15	22.014478
16	20.65718515
17	19.42020483
18	18.50851811
19	17.52783059
20	16.71791936
21	16.05748029
22	15.45280734
23	14.9253952
24	14.49967735
25	14.10753059
26	13.63085375
27	13.30605533
28	12.97820363
29	12.66418868
30	12.33575073
31	12.0412017
32	11.79363819
33	11.58670399
34	11.39117424
35	11.16002506
36	10.99750769
37	10.90029741
38	10.71799591
39	10.5452474
40	10.37472902
41	10.26800625
42	10.19015103
43	10.0888104
44	9.907497929
45	9.656940044
46	9.590426839
47	9.510057637
48	9.456236831
49	9.276638222
50	9.147710168
51	9.056438661
52	8.893330191
53	8.875318608
54	8.804463965
55	8.712108499
56	8.637955992
57	8.494330305
58	8.376573449
59	8.346079017
60	8.246942221
61	8.114794549
62	8.05385498
63	7.975645605
64	7.867295553
65	7.786185141
66	7.771003861
67	7.681018102
68	7.66310083
69	7.535987652
70	7.456764697
71	7.361233592
72	7.303945106
73	7.246790152
74	7.200355318
75	7.185909655
76	7.120734179
77	7.050416193
78	6.925662957
79	6.858495686
80	6.797374045
81	6.667193016
82	6.624531349
83	6.533522018
84	6.470103963
85	6.434673308
86	6.35901228
87	6.3383677
88	6.327287247
89	6.292708477
90	6.198846192
91	6.100904887
92	6.014979282
93	5.937064103
94	5.883290104
95	5.837439076
96	5.794745248
97	5.714530329
98	5.68564027
99	5.618990194
